case_id,approach_method,conversation_stage,initial_yes,reply_change,reciprocity,mixed_signals,relationship_status,his_investment,days_talking,meetings,he_increased_pursuit,pattern_tag,outcome
G001,Mutual Friend,Initial,Yes,reduced,high,No,single/unknown,medium,45,5,Yes,ghosting_after_yes,ghosted
G002,Work,Talking,Yes,stable,high,No,has_partner,low,43,5,No,healthy_reciprocity,positive
G003,College,Frequent Talking,Yes,stable,low,No,has_partner,medium,19,1,Yes,one_sided_effort,rejected
G004,Work,Frequent Talking,No,increased,low,No,single/unknown,high,4,5,No,overinvesting,rejected
G005,Friend,Initial,Yes,reduced,low,No,has_partner,high,4,5,Yes,ghosting_after_yes,ghosted
G006,Mutual Friend,Frequent Talking,No,increased,low,No,single/unknown,low,12,2,No,mixed_signals,rejected
G007,Mutual Friend,Talking,Yes,reduced,low,Yes,has_partner,high,36,5,Yes,one_sided_effort,rejected
G008,Dating App,Initial,Yes,stable,medium,Yes,has_partner,medium,16,0,No,already_has_boyfriend,not_available
G009,College,Dating,No,increased,high,No,single/unknown,low,11,2,Yes,healthy_reciprocity,positive
G010,College,Frequent Talking,No,reduced,low,No,has_partner,high,16,1,No,one_sided_effort,rejected
G011,College,Initial,Yes,reduced,low,Yes,has_partner,low,26,3,No,ghosting_after_yes,ghosted
G012,Work,Frequent Talking,Yes,reduced,low,Yes,has_partner,high,43,2,Yes,ghosting_after_yes,ghosted
G013,Friend,Initial,No,stable,low,No,has_partner,medium,42,2,Yes,mixed_signals,rejected
G014,Dating App,Dating,Yes,stable,low,Yes,has_partner,high,3,0,No,already_has_boyfriend,not_available
G015,Mutual Friend,Dating,Yes,increased,low,Yes,single/unknown,low,6,4,Yes,mixed_signals,rejected
G016,Work,Dating,No,reduced,medium,No,has_partner,high,15,4,Yes,already_has_boyfriend,not_available
G017,Instagram,Talking,No,stable,high,No,has_partner,medium,16,0,No,moved_on_quickly,moved_on
G018,Instagram,Initial,Yes,reduced,high,Yes,single/unknown,low,16,0,Yes,slow_replies,rejected
G019,Work,Talking,No,increased,low,No,single/unknown,high,38,4,No,overinvesting,rejected
G020,College,Frequent Talking,Yes,stable,low,No,has_partner,low,29,3,No,one_sided_effort,rejected
G021,Mutual Friend,Frequent Talking,Yes,reduced,high,No,has_partner,high,8,1,Yes,already_has_boyfriend,not_available
G022,College,Talking,Yes,reduced,low,No,single/unknown,low,6,3,Yes,one_sided_effort,rejected
G023,College,Dating,Yes,reduced,high,No,single/unknown,low,32,1,No,slow_replies,rejected
G024,Dating App,Dating,No,increased,medium,No,single/unknown,low,37,5,No,slow_replies,rejected
G025,Dating App,Initial,Yes,increased,medium,No,has_partner,low,5,4,No,already_has_boyfriend,not_available
G026,Instagram,Talking,Yes,increased,high,No,has_partner,low,27,0,Yes,already_has_boyfriend,not_available
G027,Friend,Frequent Talking,No,reduced,low,Yes,single/unknown,medium,17,2,No,slow_replies,rejected
G028,Instagram,Dating,No,reduced,high,No,has_partner,medium,41,4,Yes,already_has_boyfriend,not_available
G029,Instagram,Talking,Yes,reduced,low,No,single/unknown,high,25,2,Yes,ghosting_after_yes,ghosted
G030,Mutual Friend,Initial,Yes,reduced,high,Yes,has_partner,medium,10,2,Yes,moved_on_quickly,moved_on
